"gene","logFC","logCPM","F","PValue","FDR","pct_tumor_cells_descriptive","pct_normal_cells_descriptive","experimental_unit","is_cell_cycle_like"
"PER2",-1.77395322118245,4.84445502574178,80.2084418930601,6.31111346348274e-07,6.89240022985615e-05,0.219305971463801,0.241555783009212,"paired_patient_pseudobulk",FALSE
"TUSC3",-5.41967792456001,1.35072468385602,56.2139979959794,6.38574700729987e-07,6.91326523833768e-05,0.0026422406200458,0.0593654042988741,"paired_patient_pseudobulk",FALSE
"ADCY5",-5.18065680310315,0.884914703058909,60.5287704414069,6.94188185104827e-07,7.45055422806474e-05,0.00369913686806412,0.04503582395087,"paired_patient_pseudobulk",FALSE
"REG1A",5.93864763470206,9.11226526911301,58.6733319037296,7.24400049185463e-07,7.66709298350558e-05,0.191650519640655,0.00511770726714432,"paired_patient_pseudobulk",FALSE
"FRYL",-1.5579003416831,5.25061569317362,78.359308472825,7.27349829719123e-07,7.66709298350558e-05,0.304386119429276,0.320368474923234,"paired_patient_pseudobulk",FALSE
"C4orf19",-2.00914187518297,4.28879790083601,78.2086198689386,7.32838606455554e-07,7.66709298350558e-05,0.150607715342611,0.224155578300921,"paired_patient_pseudobulk",FALSE
"SPP1",4.53395359477532,3.77098554347766,60.9425850203766,7.44937188096857e-07,7.72872332650489e-05,0.196230403382068,0.00716479017400205,"paired_patient_pseudobulk",FALSE
"ITLN1",-6.66671429457789,5.30908599298241,69.3376328713161,7.82851120585869e-07,8.05495574487114e-05,0.00686982561211908,0.147389969293756,"paired_patient_pseudobulk",FALSE
"ZSWIM6",-1.84851391956473,4.13773908833442,76.8245959519114,7.92604398225109e-07,8.08846291631361e-05,0.145323234102519,0.192425793244626,"paired_patient_pseudobulk",FALSE
"GPCPD1",1.90617944679059,4.44635254773775,70.7845865431914,8.03813335072762e-07,8.1361593671999e-05,0.415712524220539,0.0706243602865916,"paired_patient_pseudobulk",FALSE
"SCD",3.52729212502902,6.07191386788442,68.1454621983774,8.10596966345564e-07,8.13865502500184e-05,0.590805002642241,0.0624360286591607,"paired_patient_pseudobulk",FALSE
"RHBDL2",-3.2138060808136,3.47175738220396,77.1710504085467,8.17979359443656e-07,8.14707442005882e-05,0.0362867711819623,0.14431934493347,"paired_patient_pseudobulk",FALSE
"NPY1R",-4.75782441372624,0.720846942677428,54.2587251809228,8.39105272308741e-07,8.29115923828875e-05,0.00299453936938524,0.0409416581371546,"paired_patient_pseudobulk",FALSE
"EPHA4",-4.10592450221016,0.756443273183454,61.6579808504585,8.48810996520415e-07,8.3000413882348e-05,0.00651752686277964,0.0429887410440123,"paired_patient_pseudobulk",FALSE
"LDHA",1.63229186450336,9.18806924176774,76.0165242774672,8.53337588509281e-07,8.3000413882348e-05,0.926193412013387,0.629477993858751,"paired_patient_pseudobulk",FALSE
"HSD17B2",-4.32500116580794,5.0709751964595,75.9744113718306,8.75213519141761e-07,8.44682814985653e-05,0.0477364805354941,0.320368474923234,"paired_patient_pseudobulk",FALSE
"FEV",-7.45975837645316,1.52456296105171,82.837195059976,8.88482067454435e-07,8.50892441523671e-05,0.00052844812400916,0.015353121801433,"paired_patient_pseudobulk",FALSE
"TLN2",-1.99879681115739,3.91638945867767,75.1288970149734,9.2957401138569e-07,8.83450110057392e-05,0.120133873524749,0.186284544524053,"paired_patient_pseudobulk",FALSE
"EPSTI1",2.30501933824994,5.10594069552315,69.63693741991,9.43838498594261e-07,8.89673319515051e-05,0.44636251541307,0.0880245649948823,"paired_patient_pseudobulk",FALSE
"TGM2",4.52236908725325,3.52609937127072,55.4701209208742,9.51706515935228e-07,8.89673319515051e-05,0.203628677118196,0.00716479017400205,"paired_patient_pseudobulk",FALSE
"SRPX2",4.41667552061547,2.5381437121238,70.7477914643556,9.63613746908828e-07,8.89673319515051e-05,0.159943632200106,0.00409416581371546,"paired_patient_pseudobulk",FALSE
"GLIPR2",-3.17109413024879,4.01765888595511,74.6177224403408,9.64706009112706e-07,8.89673319515051e-05,0.0695790029945394,0.194472876151484,"paired_patient_pseudobulk",FALSE
"FERMT3",-3.04010328451854,2.37544329757283,67.6652092681255,9.78623612380504e-07,8.95872351039506e-05,0.0216663730843756,0.0931422722620266,"paired_patient_pseudobulk",FALSE
"OTUD1",-2.43504759755526,5.27353870308374,73.9938484147271,1.00404160641562e-06,9.12431970793755e-05,0.169103399682931,0.274309109518936,"paired_patient_pseudobulk",FALSE
"TEAD4",2.35902187439305,3.64348862982158,62.4499211569354,1.02544853453992e-06,9.25132917030576e-05,0.278316011978157,0.0327533265097236,"paired_patient_pseudobulk",FALSE
"DUSP14",2.14761366219897,3.39837313338686,61.2930743688077,1.04614229085366e-06,9.37012339649501e-05,0.234983265809406,0.0286591606960082,"paired_patient_pseudobulk",FALSE
"MS4A12",-6.18833330243922,4.36003506814148,60.1161422269801,1.06483673328883e-06,9.46944094960425e-05,0.0110974106041924,0.18014329580348,"paired_patient_pseudobulk",FALSE
"NBPF14",-2.74081279295427,4.00690112475341,72.1205287150196,1.08620224819233e-06,9.59093474467692e-05,0.0797956667253831,0.172978505629478,"paired_patient_pseudobulk",FALSE
"SIPA1L2",-2.68961241679058,4.20143599128097,70.2972191686931,1.12167980361913e-06,9.83444616553392e-05,0.0975867535670248,0.202661207778915,"paired_patient_pseudobulk",FALSE
"TGFBI",5.8826017270745,6.24871988399569,63.6371367384556,1.17436565094568e-06,0.000102243722757159,0.62286418883213,0.0194472876151484,"paired_patient_pseudobulk",FALSE
"LGALS9B",-4.36150574208315,2.5639499668299,65.9777693857061,1.21496868221245e-06,0.000105044167316285,0.0179672362163114,0.118730808597748,"paired_patient_pseudobulk",FALSE
"GYLTL1B",4.61703539535925,2.75736304600187,58.8583945010874,1.26969879909293e-06,0.000108266483586174,0.181610005284481,0.00409416581371546,"paired_patient_pseudobulk",FALSE
